names,Pitch,SpectralCentroid,SpectralSpread,SpectralSkewness,SpectralKurtosis,SpectralFlatness,SpectralCrest,SpectralSlope,SpectralDecrease,SpectralRollOff,SpectralVariation,SpectralFlux,HarmonicSpectralDeviation,Tristimulus_1,Tristimulus_2,Tristimulus_3,HarmonicOddToEvenRatio,Inharmonicity,HarmonicEnergy,NoiseEnergy,Noisiness,HarmonicToNoiseEnergy,PartialsToNoiseEnergy,time_s,F1_Hz,F2_Hz,F3_HZ,F4_Hz,F0_Hz,x,y
Kazantzidis_i_15,192.090465249784,1084.38777289716,1002.32058314818,0.88193063592643,2.28786029196657,1.25387383908877e-10,0.428166791775784,2.11829157296615e-06,0.0131139855246244,2535.52306837028,0.752353172933332,0.0023943539423682,0.009605030968605,0.220196026166889,0.511401728026071,0.158351185935589,0.201988146447123,0.156351086212109,0.0342430106969795,0.0365369374706708,0.471279594379096,0.920074758770569,1.12188320447703,0.63572,400.947145,2191.951999,2513.305682,3419.719566,191.732470807581,33.483177,-32.620747
Kazantzidis_i_16,190.928756101181,1501.36478416812,1135.4920942194,0.283825386242552,1.72479590240685,6.63611451238592e-06,0.210216090599374,1.66419165060569e-07,0.0211836050457103,3046.38200104385,0.807262112716842,0.0019883866251291,0.0044177195719401,0.340322035874784,0.338823971387838,0.215510624462265,0.971912324980642,0.157058956411737,0.0139517243043749,0.024297648877296,0.46581747529163,0.907369509286834,1.14676359957071,0.883883,392.841123,2131.714297,2543.894724,3557.559338,190.441676229414,67.26391,-3.2556782
Kazantzidis_i_2,217.427533768375,1954.39255272484,1192.05232561001,0.0031042778154973,2.33318675249055,3.9743839044178e-09,0.158043836518144,1.23473167960132e-06,0.0068855105274274,3289.52237005222,0.67716959379223,0.0007954046249084,0.002253559816389,0.223783930255288,0.149354785184755,0.44226343661358,1.29116859373217,0.350917865336105,0.0037965527398327,0.0219297537332211,0.552229166235291,0.261863321561148,0.810842965091878,0.67771,356.312695,2213.774114,2551.984509,3463.434083,215.366861738923,46.649487,-30.64924
Kazantzidis_i_3,198.462679794175,1873.06494862592,1178.18148357015,0.227759083026524,2.90667212960164,0.0010678718684672,0.136510721713094,-4.25263453933974e-07,0.0243109010812544,3422.94077199851,0.736917694708993,0.0015099953330557,0.0027028471664915,0.333045708068598,0.339519786492698,0.285043396074794,1.10001124201835,0.272573435708987,0.0097037311587727,0.0223695708384157,0.539699996668159,0.449076036521152,0.852881352468149,0.554546,358.838557,2069.324839,2471.459707,3366.158993,199.52533601502,52.1101,33.388676
Kazantzidis_i_4,233.504626157602,2041.8547256073,1419.41247082173,0.504585979523753,3.20793621590034,9.80616403825998e-05,0.170610960430079,-1.17950486947932e-07,0.0190838066621676,3255.91011618152,0.799040179780639,0.0015189301396341,0.0024051781710552,0.406715215104555,0.245087435638553,0.311290541320111,2.9467034891994,0.186503770576893,0.0133353445157844,0.0192393638028058,0.504791697944265,0.654889898035168,0.981015345947809,0.544291,348.341797,2114.745419,2961.409438,3581.18923,233.54180692994,54.117424,18.66124
Kazantzidis_i_5,295.987121656808,1739.96181286256,1175.27169691617,0.410027457879035,2.74195264884737,4.37581359142751e-10,0.239229224655369,1.49747995099823e-06,0.0085093934670257,2296.33393000177,0.764035700437482,0.0012084458260359,0.0039330659799718,0.507948360602737,0.19434407235309,0.233522890619313,7.36704234725138,0.182366742586702,0.0149611309459422,0.024870203747115,0.534644078175989,0.589362217079935,0.870403209947888,1.00424,399.479503,2066.470675,2852.589723,3554.000793,295.442861797299,53.287025,39.046715
Kazantzidis_i_6,199.727696330766,1221.58245479897,1104.79248255392,0.664405750675002,1.93830455917242,1.797335098856e-08,0.29734252821613,1.49458367276813e-06,0.0136408576059461,2834.14034863471,0.8209267913055,0.0020477998212471,0.0077729014487841,0.282959596060927,0.485095346607071,0.190600027289903,0.364371651187871,0.201510211558242,0.0243968792914935,0.0348553514295716,0.496982841753953,0.684005125781332,1.01214190105799,0.651587,375.257484,2143.452179,2498.662628,3455.042073,196.420997727383,66.20993,-4.4933844
Kazantzidis_i_7,169.803681615535,948.82931404571,945.411310334083,1.20844125524059,3.06957272702696,2.66038980461174e-09,0.437558976676339,6.92965138736425e-07,0.0178629651425675,2581.59330181477,0.746127516426944,0.0010691327321733,0.0033381284041575,0.155489122720612,0.693049199869119,0.0842615900020754,0.192241296253149,0.162894511434794,0.0036751743775567,0.012816804089191,0.460590905203727,0.920931288697848,1.17112406845655,0.673067,368.769145,2091.219462,2454.765439,3481.448755,170.190227421841,65.596146,-4.5467305
Kazantzidis_i_8,144.488145570533,1682.33279646023,1355.72102577529,0.690788911250874,2.98771620881335,5.38428251388076e-08,0.170115626308052,4.03647406620707e-08,0.0116071328707433,4056.50114890716,0.543451539676459,0.0004926992767032,0.001291016837873,0.0555192314056632,0.451364231412028,0.391203298932754,1.06743714055108,0.209038980951133,0.0012726317337015,0.0052042408401323,0.48724490606776,0.663202085313757,1.05235952884721,0.933424,424.936918,2205.935685,3167.645458,3271.876049,143.567188429161,47.88808,-30.972006
Kazantzidis_i_9,217.678824735387,2507.53722236606,1465.47545172292,0.496973684416766,3.39326469855768,7.36031525541042e-06,0.113569097737982,1.89916233778406e-07,0.0105879404993271,5761.29115872442,0.743816345959808,0.0006837677112652,0.0017784395292124,0.173461634736183,0.29327095975149,0.501136408553906,0.626069101970547,0.396384020034205,0.0022821378780111,0.0131440142758176,0.60461502067488,0.202680934700119,0.6539450159273,0.789649,497.721302,2130.938795,2700.18694,3402.33659,217.586123239727,33.854233,-28.326006
Kazantzidis_u_1,237.380441611425,1209.20605888918,1468.25902885308,2.28828365008071,7.69390882393712,4.28112547199436e-09,0.249698696550734,-1.63709162769153e-08,0.012696552178387,6192.57984910362,0.79540688759661,0.0018044616369067,0.0033895158051656,0.328974864271336,0.599421610599177,0.0641740363750685,0.82224773925055,0.127231331054669,0.0220070559075285,0.0288552316358699,0.493860529312521,0.821200839310652,1.02486317623328,0.645975,374.709485,936.601005,2722.596567,3438.194919,235.150668446542,41.19402,-17.275784
