vowels,time_s,F1_Hz,F2_Hz,F3_HZ,F4_Hz,F0_Hz
Kazantzidis_w_19,1.043424,611.849469,1118.581528,2734.6366,3518.455207,215.3015061
Kazantzidis_w_2,1.009853,520.332216,1023.307577,2944.568054,3614.593539,157.7860434
Kazantzidis_w_20,0.929649,508.62743,1070.703684,2760.563545,3304.037698,148.72125
Kazantzidis_w_21,1.137659,669.513305,1195.28344,2961.743244,3542.302493,243.8064708
Kazantzidis_w_22,0.882046,552.685957,1126.227219,2559.969526,3383.411933,198.0638465
Kazantzidis_w_3,0.345612,603.347555,1180.226982,2554.925284,3622.61078,267.7905105
Kazantzidis_w_4,0.528424,605.178373,1144.359086,2284.427653,3380.750318,197.5131916
Kazantzidis_w_5,1.258016,582.615118,1056.816202,2341.409605,3197.248485,194.9758725
Kazantzidis_w_6,0.792455,582.270768,1075.912444,2453.921919,3482.864724,206.0700595
Kazantzidis_w_7,1.133016,682.209866,1150.30916,2946.223116,3539.903029,193.7477992
Kazantzidis_w_8,0.332551,654.760923,1431.504512,3164.448918,3398.691607,286.6292166
Kazantzidis_w_9,1.037812,782.947038,2171.168516,3258.030416,3761.159223,197.9315043
Kazantzidis_old_a_1,0.306429,715.520599,1489.650507,2531.284205,3560.38255,216.1422569
Kazantzidis_old_a_2,0.306429,869.278341,1359.427281,2688.983784,3519.771766,222.3136908
Kazantzidis_old_a_3,0.306429,835.43324,1323.735147,2561.758513,3601.552082,248.2993846
Kazantzidis_old_a_4,1.132046,595.476323,1203.260605,2329.853333,3503.270155,164.8963947
Kazantzidis_old_a_5,0.31949,803.459287,1379.596978,2516.815823,3497.820754,239.6784064
Kazantzidis_old_a_6,0.450102,840.436719,1297.126778,2527.064705,3637.338926,241.2759184
Kazantzidis_old_a_7,0.685159,568.137365,1174.377405,2306.718098,3227.831806,163.8998655
Kazantzidis_old_a_8,0.228061,718.217587,1562.886628,2668.14919,3696.110395,218.4816822
Kazantzidis_old_a_9,0.254184,718.125183,1574.383603,2564.647718,3604.203786,223.8860657
Kazantzidis_old_a_10,0.463163,602.330388,1407.966589,2374.143903,3416.754695,149.2026127
Kazantzidis_old_a_11,0.648781,871.838129,1403.913177,2686.43304,3642.613512,307.7898719
Kazantzidis_old_a_12,0.518169,752.593853,1380.126927,2701.702668,3734.643998,274.7547213
Kazantzidis_old_a_13,2.043526,700.13331,1356.779323,2594.785421,3621.734608,171.9289334
Kazantzidis_old_a_14,1.134853,795.238153,1359.101,2612.878234,3643.270175,229.6841531
Kazantzidis_old_a_15,0.515363,703.482794,1287.042358,2466.458496,3633.240353,212.603329
Kazantzidis_old_a_16,0.557353,781.689208,1477.397678,2607.010165,3584.182897,217.1363178
Kazantzidis_old_e_1,0.766332,469.622723,1817.727177,2790.237715,3628.99527,222.5749255
Kazantzidis_old_e_2,0.267245,488.742484,1849.614423,2387.265451,3494.924978,201.6968378
Kazantzidis_old_e_3,1.393271,603.630548,1835.68077,2717.462823,3587.65976,299.3036373
Kazantzidis_old_e_4,0.306429,548.86698,1795.731658,2417.449775,3488.839078,207.1220646
Kazantzidis_old_e_5,0.201939,539.468624,1722.716117,2390.4003,3496.222557,179.9135894
Kazantzidis_old_e_6,0.188878,542.886473,1923.9107,2586.719866,3535.00136,231.5308758
Kazantzidis_old_e_7,0.518169,620.70785,1784.518081,2680.135754,3527.705102,286.9460669
Kazantzidis_old_e_8,0.789649,437.50328,1710.643023,2309.097182,3377.716804,193.3613634
Kazantzidis_old_e_9,0.750465,436.199944,1719.939081,2329.172198,3426.367633,153.7112954
Kazantzidis_old_e_10,0.645975,601.46764,1777.764456,2646.252587,3654.497132,287.5322852
Kazantzidis_old_e_11,0.776587,595.191756,1800.48524,2875.196859,3625.69952,296.5743176
Kazantzidis_old_i_1,0.371735,371.486509,2140.791054,2572.38553,3326.549163,186.1480517
Kazantzidis_old_i_2,0.201939,328.970042,2087.715114,2639.067516,3182.95203,146.6761219
Kazantzidis_old_i_3,0.332551,347.020221,2038.907812,2397.491921,3376.66272,229.7101203
Kazantzidis_old_i_4,0.345612,317.483478,1953.242463,2386.357068,3218.427912,206.6759217
Kazantzidis_old_i_5,0.789649,320.558776,2038.337157,2802.850587,3227.912651,116.4157156
Kazantzidis_old_i_6,0.894138,359.066516,1970.91654,2338.353822,3290.70161,175.2111181
Kazantzidis_old_i_7,0.345612,384.887544,1937.129437,2735.944206,3498.779556,304.9214508
Kazantzidis_old_i_8,0.450102,338.477607,2030.757499,2580.91904,3278.124133,168.001667
Kazantzidis_old_i_9,0.42398,284.596286,2024.987431,2395.0442,3305.166105,133.9817943
Kazantzidis_old_i_10,1.158169,370.121298,1934.059996,2340.227153,3056.525748,216.0419301
Kazantzidis_old_i_11,1.677812,361.810376,1903.583723,2311.726076,3315.806018,258.2333549
