Row;Rate;Depth;Regularity
Pagioumtzis_w_7;2,266652961;0,096951637;0,080315878
Pagioumtzis_w_8;10,44034091;0,012535302;0,044922827
Pagioumtzis_w_9;4,379634534;0,056948555;0,490567219
Perdikopoulos_a_1;1,41201332;0,043205097;0,551333914
Perdikopoulos_a_10;1,285564366;0,332068259;0,473421551
Perdikopoulos_a_11;1,832613032;0,040746831;0,250904982
Perdikopoulos_a_12;4,969200721;0,033433494;0,311766135
Perdikopoulos_a_2;6,034783041;0,030939417;0,369277313
Perdikopoulos_a_3;6,514246324;0,036928982;0,105945388
Perdikopoulos_a_4;1,196289063;0,172068358;0,728353675
Perdikopoulos_a_5;1,4765625;0,044888823;0,248336787
Perdikopoulos_a_6;17,65455163;0,063284857;0,001956903
Perdikopoulos_a_7;1,266659007;0,230100906;0,724970982
Perdikopoulos_a_8;1,285564366;0,291419413;0,36179634
Perdikopoulos_a_9;1,980064655;0,053501925;0,145997913
Perdikopoulos_e_1;2,392578125;0,145107807;0,67479194
Perdikopoulos_e_2;1,104266827;0,263521694;0,192749284
Perdikopoulos_e_3;1,688878676;0,724643809;0,235820284
Perdikopoulos_i_1;5,16796875;0,118730464;0,020583954
Perdikopoulos_i_2;3,143533303;0,060861082;0,101139878
Perdikopoulos_u_1;4,350142045;0,032531766;0,306731539
Perdikopoulos_u_2;3,143533303;0,053972274;0,266657853
Perdikopoulos_w_1;2,414938668;0,048933171;0,14000113
Perdikopoulos_w_2;6,711647727;0,042344925;0,079027054
Perdikopoulos_w_3;1,485048491;0,047691368;0,059596331
Perdikopoulos_w_4;4,1015625;0,026539899;0,241236586
Perdikopoulos_w_5;14,35546875;0,89949101;0,19469403
Perdikopoulos_w_6;4,264000619;0,076130518;0,210947012
Perpiniadis_a_1;1,493632587;0,357589986;0,302100672
Perpiniadis_a_2;1,677911932;0,174785721;0,074443457
Perpiniadis_a_3;2,970096983;0,081944352;0,0530534
Perpiniadis_a_4;1,872452446;0,166518865;0,502703861
Perpiniadis_e_1;1,80698208;0,19324411;0,79204252
Perpiniadis_e_2;2,208533654;0,154819093;0,169190903
Perpiniadis_e_3;5,899507705;0,098832509;0,098150841
Perpiniadis_u_1;0,783025568;0,077485846;0,465656434
Perpiniadis_u_2;1,025390625;0,083641736;0,08608126
Perpiniadis_u_3;0,812573703;0,708308646;0,006689101
Perpiniadis_w_1;5,872691761;0,054176562;0,220449978
Perpiniadis_w_2;1,138319108;0,742081736;0,287432887
Perpiniadis_w_3;7,042305425;0,03040349;0,343913905
Tsaousakis_a_1;0,711841426;0,038324751;0,017478819
Tsaousakis_a_10;4,150978916;0,225233466;0,009595449
Tsaousakis_a_11;2,43007935;0,188593472;0,022854538
Tsaousakis_a_12;0,696491745;0,153037986;0,139224771
Tsaousakis_a_13;1,660963326;1,224527758;0,150299762
Tsaousakis_a_14;2,919756356;0,250948422;0,032351183
Tsaousakis_a_15;1,090288766;0,451893436;0,496963471
Tsaousakis_a_16;3,170532975;0,042101201;0,011238051
Tsaousakis_a_17;1,285564366;0,131570289;0,300788504
Tsaousakis_a_18;0,775971284;0,24718516;0,470016819
Tsaousakis_a_19;0,700266768;0,468734911;0,639281919
Tsaousakis_a_2;2,642110813;1,844034697;0,060770597
Tsaousakis_a_20;2,89743406;0,110375808;0,018042683
Tsaousakis_a_21;0,634885596;0,107211542;0,000811252
Tsaousakis_a_22;1,111391129;1,719356703;0,457582171
Tsaousakis_a_23;0,613773011;1,103302806;0,091719314
Tsaousakis_a_24;1,185313933;0,528254425;0,002369286
Tsaousakis_a_3;1,050400152;0,213990332;0,093387934
Tsaousakis_a_4;0,486626059;0,975296831;0,263669667
Tsaousakis_a_5;1,0546875;0,108298863;0,254361996
Tsaousakis_a_6;1,427615677;0,332800462;0,292405087
Tsaousakis_a_7;0,790209289;0,292715268;0,328584158
Tsaousakis_a_8;2,540109752;0,122831888;0,073383386
Tsaousakis_a_9;0,60232736;0,407044719;0,255539382
Tsaousakis_e_1;0,887967139;3,208088422;0,017363359
Tsaousakis_e_10;2,171415441;0,172453123;0,555023006
Tsaousakis_e_11;2,778477823;0,1206258;0,024531829
Tsaousakis_e_12;0,667696221;0,248342543;0,300345761
Tsaousakis_e_13;0,732006905;0,381727415;0,618632947
Tsaousakis_e_2;0,657502385;0,862300649;0,042741699
Tsaousakis_e_3;1,201853198;0,306928383;0,447984454
Tsaousakis_e_4;1,3671875;0,211993809;0,534253787
Tsaousakis_e_5;2,383121294;0,146717727;0,036724861
Tsaousakis_e_6;3,303028208;0,210840471;0,049279246
Tsaousakis_e_7;2,100800305;0,466474088;0,198429146
Tsaousakis_e_8;1,549947783;0,624176981;0,0084957
Tsaousakis_e_9;3,399979441;0,017941682;0,078258474
Tsaousakis_i_1;0,642782183;0,252179455;0,533448838
Tsaousakis_i_10;0,711841426;0,301770005;0,26632405
