,Pitch,SpectralCentroid,SpectralSpread,SpectralSkewness,SpectralKurtosis,SpectralFlatness,SpectralCrest,SpectralSlope,SpectralDecrease,SpectralRollOff,SpectralVariation,SpectralFlux,HarmonicSpectralDeviation,Tristimulus_1,Tristimulus_2,Tristimulus_3,HarmonicOddToEvenRatio,Inharmonicity,HarmonicEnergy,NoiseEnergy,Noisiness,HarmonicToNoiseEnergy,PartialsToNoiseEnergy,F1_Hz,F2_Hz,F3_HZ,F4_Hz,Rate,Depth,Regularity,x,y,z
HarmonicToNoiseEnergy,0.012679341637385133,-0.35658985309190233,-0.24049875434478243,0.2493848492186953,0.18161028168428417,-0.06798931861116313,0.5224601815687758,-0.011733467136314544,0.3377245677219582,-0.0773068940915481,-0.31886740038994044,0.32821399699252823,0.525912039840652,0.09925141420514794,0.27410960005548285,-0.19169119260741097,0.07786464863523863,-0.8183059606648866,0.7253747060276646,0.28685659729115714,-0.8386077435491326,1.0,0.8606771409265678,-0.13787995733534728,-0.10567507279196249,0.02109735200147886,-0.03664401536456836,0.0014289373313783544,-0.2546572893881332,-0.03887637365980206,0.11810687423995223,0.09092561775885746,-0.3316195968666089
PartialsToNoiseEnergy,-0.3067100783984345,-0.5279137864478788,-0.344880563794076,0.3427362261488079,0.25313044060737316,-0.12573054669291997,0.4766676329239569,-0.03416080185144776,0.30688394493202137,-0.17558705574323138,-0.45081117750061717,0.26407822026498934,0.3908487259853915,-0.07042329316637735,0.22333412767003105,-0.07344639148711579,0.039947399947733324,-0.6041546128374423,0.6031523585758711,0.18979633668379176,-0.9902785270916113,0.8606771409265678,1.0,-0.22601699427909613,-0.1637999053768319,-0.08567294553415793,-0.10982769976781173,-0.07045263066036174,-0.11678078194244179,-0.10849100714834078,-0.10959061107912098,0.06920573060177206,-0.39754129180554815
F1_Hz,0.32321197614680575,0.3096617645688621,0.08413183795748845,0.023805199770890267,-0.002695432222658615,-0.00415404163577565,-0.30262922644291546,0.1511679266549154,-0.2133750157393796,0.22037035915101855,0.10304809915453406,-0.16486056780961272,0.019756090558684696,-0.34749973224346825,0.08514222915216012,0.2565491015403881,-0.16012839830870543,-0.03250487310618459,-0.16564003489741586,-0.10058460926281647,0.21698699444680195,-0.13787995733534728,-0.22601699427909613,1.0,-0.10562646409823735,0.36921506167576346,0.37905492981969496,0.014803651842739506,-0.011425562438204185,-0.15102193144633622,0.18007520612557493,-0.07274158906309432,0.1505356442538399
F2_Hz,0.04147822143487406,0.5437965514172938,0.5798516142283576,-0.6934931438655365,-0.5970305052704771,0.07492005768653344,-0.1533930709967221,0.06812398326455753,-0.21664298521782593,0.30562053596730576,0.31575329268165764,-0.15563945038700983,-0.16685142925480326,0.20322151965248028,-0.4252067851225659,0.22904004814140513,0.11181705489642235,0.12261697833269501,-0.10920902520480523,-0.0879524094504903,0.16694649734400147,-0.10567507279196249,-0.1637999053768319,-0.10562646409823735,1.0,0.07470879310712016,0.18886562615937205,-0.008493688654534088,0.015369276060276346,0.116879107942719,0.0037490227371462155,-0.07479396249905648,0.09448654627490871
F3_HZ,0.26393794549479305,0.21150591372646596,0.23465181118590278,-0.026301984562338232,-0.025757840113201654,-0.015876715310807567,-0.06805857580388003,0.11197367666324572,-0.07180562370607102,0.21699437661733673,0.20135082338710705,-0.021227707787162146,0.047872565240701735,0.04435151805948196,0.05090068858477348,-0.01863965739715475,0.06262518161899074,-0.1603475486255714,-0.07263913392733802,-0.09591741924028988,0.06497329662773431,0.02109735200147886,-0.08567294553415793,0.36921506167576346,0.07470879310712016,1.0,0.551894543802807,0.10934440293553338,-0.06731291662386535,-0.03622431261310156,0.3062303248570423,-0.06850628175111595,0.204331247540036
F4_Hz,0.2239498764687113,0.2325586715494049,0.19337133056973546,-0.049058362480934044,-0.02391471059759173,0.006336627680657248,-0.05011266563708157,0.01489950904316178,-0.029552950053999927,0.19317102357817809,0.10781832427190398,-0.06864152328061553,-0.001821315716064834,0.05817312399453688,-0.062173028618019675,0.03719803108821752,0.08028076184558122,-0.07099219706828588,-0.020523612108679208,-0.001299762183711468,0.09151944884884532,-0.03664401536456836,-0.10982769976781173,0.37905492981969496,0.18886562615937205,0.551894543802807,1.0,-0.010087443589329712,-0.03385638887560783,-0.018393122274753072,0.2318169071697919,0.06367103121543831,0.30192294300658135
Rate,0.16383433778197748,0.01770118623047275,-0.004609172904441567,-0.008086719259011901,-0.0036850444012558876,0.14594307968992742,0.08211034158053802,-0.11742470508334558,0.15469257039754664,0.05728436142091186,0.1321478887163651,0.24908620071102275,0.12374276512020287,0.17665799338302274,0.02747865654765,-0.1558316127271858,0.03994432538524662,-0.09844871175405358,0.12252588053548337,0.1742364428916989,0.07078732562655639,0.0014289373313783544,-0.07045263066036174,0.014803651842739506,-0.008493688654534088,0.10934440293553338,-0.010087443589329712,1.0,-0.17729928398245673,-0.10301300744225277,0.26905207535658004,0.15096850991277475,-0.1321252000822002
Depth,-0.17436759509217384,-0.029406745776293063,-0.033772940385824894,-0.02530021111477262,-0.03568628382005846,-0.042050193362964776,-0.11418286644504587,0.06289967474788825,-0.14290867846999017,-0.0969411384754648,-0.11462749224264462,-0.21301898908176925,-0.15587966134654188,-0.19835761597415513,-0.06586822336376026,0.1448285993578001,-0.04407625413232608,0.28095785023321884,-0.22330072173343282,-0.18525991558344373,0.07531995778562377,-0.2546572893881332,-0.11678078194244179,-0.011425562438204185,0.015369276060276346,-0.06731291662386535,-0.03385638887560783,-0.17729928398245673,1.0,-0.07096836604908054,-0.21030163394558277,-0.05174869291746612,0.16332023587726607
Regularity,0.069580731525318,-0.015773829527377027,0.04712111725257745,-0.032310543660085726,-0.041201445315072326,0.02734558977035118,0.09176717957118055,-0.21302896442539482,0.16354349459031162,0.024653470923392578,0.17398463875544284,0.24004616355313693,0.031067403666434578,0.1838330511601023,0.02002926940661415,-0.19183001884797973,0.03562560995953201,-0.015055085044372269,0.11580326537214894,0.21984509382371348,0.105464028060145,-0.03887637365980206,-0.10849100714834078,-0.15102193144633622,0.116879107942719,-0.03622431261310156,-0.018393122274753072,-0.10301300744225277,-0.07096836604908054,1.0,0.04927125798538063,0.15446133627790448,-0.09677664474557583
x,0.6978810528525581,0.1447471613830921,0.025845664480291065,-0.07654475415364266,-0.04560737402456598,0.028533850919628102,0.15536834962605847,-0.03252157342260828,0.17764554542889333,0.1396621226738784,0.2117718103155297,0.20112137367220703,0.22183183818760419,0.42382029598381293,0.08353737965176146,-0.3653198041262072,0.21073921662305542,-0.40617267647603594,0.14944139030612277,0.12108299485067764,0.10910484112349278,0.11810687423995223,-0.10959061107912098,0.18007520612557493,0.0037490227371462155,0.3062303248570423,0.2318169071697919,0.26905207535658004,-0.21030163394558277,0.04927125798538063,1.0,-0.0033211867007111326,-0.001063742899385471
y,0.072365615422582,-0.1962177656510131,-0.19910163871315442,0.21381159687763232,0.18221702834402387,0.12627583234463977,0.2908733856124091,-0.3498464737762512,0.4106922544387248,-0.14708955631789344,-0.1668528009716128,0.3970289195360513,0.21599589767098895,0.15310970768920704,0.11673308820409586,-0.27815823314390853,0.07031934998445558,-0.09482655264616126,0.3295279873067847,0.3530705169584515,-0.05013382807650584,0.09092561775885746,0.06920573060177206,-0.07274158906309432,-0.07479396249905648,-0.06850628175111595,0.06367103121543831,0.15096850991277475,-0.05174869291746612,0.15446133627790448,-0.0033211867007111326,1.0,-0.0020822294181087257
z,0.07760891295044182,0.3049942449614736,0.2961697022999337,-0.18277381808974844,-0.17878540745272206,-0.06720048410545429,-0.30113733938843384,0.15211015004138728,-0.3562683664144864,0.22985683960498873,0.24634333314975532,-0.36413847097974467,-0.3209655022362422,-0.09556911083666192,-0.053143030821012106,0.11034652241175011,-0.0602618134962972,0.2199842513698935,-0.45654862242822625,-0.34963723815395065,0.3649931248752211,-0.3316195968666089,-0.39754129180554815,0.1505356442538399,0.09448654627490871,0.204331247540036,0.30192294300658135,-0.1321252000822002,0.16332023587726607,-0.09677664474557583,-0.001063742899385471,-0.0020822294181087257,1.0
